cat;name
IAB1;Искусство и развлечения
IAB1-1;Книги и литература
IAB1-2;Знаменитости/Сплетни
IAB1-3;Изобразительное искусство
IAB1-4;Юмор
IAB1-5;Фильмы
IAB1-6;Музыка
IAB1-7;Телевидение
IAB2;Автомобили
IAB2-1;Автозапчасти
IAB2-2;Ремонт автомобилей
IAB2-3;Покупка/продажа автомобилей
IAB2-4;Автомобильная культура
IAB2-5;Сертифицированные подержанные автомобили
IAB2-6;Кабриолет
IAB2-7;Купе
IAB2-8;Кроссовер
IAB2-9;Дизель
IAB2-10;Электромобили
IAB2-11;Хэтчбэк
IAB2-12;Гибрид
IAB2-13;Люксовый
IAB2-14;Минивэн
IAB2-15;Мотоциклы
IAB2-16;Внедорожники
IAB2-17;Мощные автомобили
IAB2-18;Пикап
IAB2-19;Помощь на дороге
IAB2-20;Седан
IAB2-21;Грузовики и комплектующие
IAB2-22;Винтажные машины
IAB2-23;Универсал
IAB3;Бизнес
IAB3-1;Реклама
IAB3-2;Сельское хозяйство
IAB3-3;Биотехнологии/Биомедицина
IAB3-4;Программное обеспечение для бизнеса
IAB3-5;Строительство
IAB3-6;Лесная промышленность
IAB3-7;Правительство
IAB3-8;Экологически чистые решения
IAB3-9;Кадровые ресурсы
IAB3-10;Логистика
IAB3-11;Маркетинг
IAB3-12;Металургия
IAB4;Карьера
IAB4-1;Планирование карьеры
IAB4-2;ВУЗ
IAB4-3;Финансовая помощь
IAB4-4;Ярмарки вакансий
IAB4-5;Поиск работы
IAB4-6;Написание резюме/Консультация
IAB4-7;Уход за больными/Сестринское дело
IAB4-8;Стипендии
IAB4-9;Удаленная работа
IAB4-10;Армия США
IAB4-11;Профориентация
IAB5;Образование
IAB5-1;Средняя и старшая школы
IAB5-2;Образование для взрослых
IAB5-3;История искусств
IAB5-4;Администрация ВУЗов
IAB5-5;Студенческая жизнь
IAB5-6;Дистанционное образование
IAB5-7;Английский как второй язык
IAB5-8;Изучение языка
IAB5-9;Магистратура/аспирантура
IAB5-10;Домашнее обучение
IAB5-11;Домашнему задание/советы по учебе
IAB5-12;Начальная школа
IAB5-13;Частная школа
IAB5-14;Специальное образование
IAB5-15;Бизнес образование
IAB6;Семья и воспитание детей
IAB6-1;Усыновление
IAB6-2;Младенцы и дети ясельного возраста
IAB6-3;Детский сад/дошкольное учреждение
IAB6-4;Семейный интернет
IAB6-5;Воспитание детей начального школьного возраста
IAB6-6;Воспитание подростков
IAB6-7;Беременность
IAB6-8;Дети - инвалиды
IAB6-9;Уход за пожилыми людьми
IAB7;Здоровье и фитнес
IAB7-1;Упражнения
IAB7-2;СДВГ
IAB7-3;СПИД/ВИЧ
IAB7-4;Аллергия
IAB7-5;Альтернативная медицина
IAB7-6;Артрит
IAB7-7;Астма
IAB7-8;Аутизм
IAB7-9;Биполярное расстройство
IAB7-10;Опухоль мозга
IAB7-11;Рак
IAB7-12;Холестерин
IAB7-13;Синдром хронической усталости
IAB7-14;Хроническая боль
IAB7-15;Простуда и грипп
IAB7-16;Глухота
IAB7-17;Стоматология
IAB7-18;Депрессия
IAB7-19;Дерматология
IAB7-20;Диабет
IAB7-21;Эпилепсия
IAB7-22;ГЭРБ/Кислотный рефлюкс
IAB7-23;Головные боли/мигрень
IAB7-24;Сердечные заболевание
IAB7-25;Целебные травы
IAB7-26;Холистическая медицина
IAB7-27;Синдром раздраженного кишечника/болезнь Крона
IAB7-28;Инцест/жестокое обращение
IAB7-29;Недержание мочи
IAB7-30;Бесплодие
IAB7-31;Мужское здоровье
IAB7-32;Кормление младенцев
IAB7-33;Ортопедия
IAB7-34;Панические/тревожные расстройства
IAB7-35;Педиатрия
IAB7-36;Физиотерапия
IAB7-37;Психология/Психиатрия
IAB7-38;Здоровье пожилых людей
IAB7-39;Сексуальность
IAB7-40;Нарушения сна
IAB7-41;Отказ от курения
IAB7-42;Наркомания
IAB7-43;Заболевание щитовидной железы
IAB7-44;Потеря веса
IAB7-45;Женское здоровье
IAB8;Еда и напитки
IAB8-1;Американская кухня
IAB8-2;Гриль и барбекю
IAB8-3;Каджунская/креольская кухня
IAB8-4;Китайская кухня
IAB8-5;Коктейли/Пиво
IAB8-6;Кофе/чай
IAB8-7;Особая кухня
IAB8-8;Десерты и выпечка
IAB8-9;Ужин вне дома
IAB8-10;Пищевая аллергия
IAB8-11;Французская кухня
IAB8-12;Здоровая / диетическая кулинария
IAB8-13;Итальянская кухня
IAB8-14;Японская кухня
IAB8-15;Мекиканская кухня
IAB8-16;Веган
IAB8-17;Вегитарианская
IAB8-18;Вино
IAB9;Хобби и интересы
IAB9-1;Искусство/Технологии
IAB9-2;Искусство и ремесла
IAB9-3;Вышивка бисером
IAB9-4;Наблюдение за птицами
IAB9-5;Настольные игры/Пазлы
IAB9-6;Изготовление свечей и мыла
IAB9-7;Карточные игры
IAB9-8;Шахматы
IAB9-9;Сигары
IAB9-10;Коллекционирование
IAB9-11;Комиксы
IAB9-12;Рисование карандашом
IAB9-13;Внештатное написание статей
IAB9-14;Генеалогия
IAB9-15;Публицистика
IAB9-16;Гитара
IAB9-17;Домашняя звукозапись
IAB9-18;Инвесторы и патенты
IAB9-19;Изготовление ювелирных изделий
IAB9-20;Магия и фокусы
IAB9-21;Вышивание
IAB9-22;Живопись
IAB9-23;Фотография
IAB9-24;Радио
IAB9-25;Ролевые игры
IAB9-26;Научная фантастика и фэнтези
IAB9-27;Изготовление альбомов
IAB9-28;Написание сценариев
IAB9-29;Нумизматика и филателия
IAB9-30;Компьютерные и видеоигры
IAB9-31;Резьба по дереву
IAB10;Дом и сад
IAB10-1;Оборудование
IAB10-2;Развлечения
IAB10-3;Экологическая безопасность
IAB10-4;Садоводство
IAB10-5;Ремонт дома
IAB10-6;Домашний кинотеатр
IAB10-7;Отделка интерьера
IAB10-8;Ландшафтный дизайн
IAB10-9;Реконструкция и строительство
IAB11;Право, правительство и политика
IAB11-1;Иммиграция
IAB11-2;Юридические вопросы
IAB11-3;Правительственные ресурсы США
IAB11-4;Политика
IAB11-5;Комментарии и мнения
IAB12;Новости
IAB12-1;Международные новости
IAB12-2;Национальные новости
IAB12-3;Местные новости
IAB13;Личные финансы
IAB13-1;Начинающий инвестор
IAB13-2;Кредиты/задолженность и займы
IAB13-3;Новости финансов
IAB13-4;Финансовое планирование
IAB13-5;Хеджевый фонд
IAB13-6;Страхование
IAB13-7;Инвестиции
IAB13-8;Паевые фонды
IAB13-9;Опционы
IAB13-10;Планирование выхода на пенсию
IAB13-11;Фонды
IAB13-12;Налоговое планирование
IAB14;Социум
IAB14-1;Знакомства и свидания
IAB14-2;Поддержка при разводе
IAB14-3;Гей жизнь
IAB14-4;Брак
IAB14-5;Жизнь пожилых
IAB14-6;Подростки
IAB14-7;Свадьбы
IAB14-8;Этническая специфика
IAB15;Наука
IAB15-1;Астрология
IAB15-2;Биология
IAB15-3;Химия
IAB15-4;Геология
IAB15-5;Паранормальные явления
IAB15-6;Физика
IAB15-7;Космос/Астрономия
IAB15-8;География
IAB15-9;Ботаника
IAB15-10;Погода
IAB16;Домашние животные
IAB16-1;Аквариумы
IAB16-2;Птицы
IAB16-3;Кошки
IAB16-4;Собаки
IAB16-5;Крупные животные
IAB16-6;Рептилии
IAB16-7;Ветеринарная медицина
IAB17;Спорт
IAB17-1;Автогонки
IAB17-2;Бейсбол
IAB17-3;Велосипед
IAB17-4;Бодибилдинг
IAB17-5;Бокс
IAB17-6;Гребля на каноэ/каяках
IAB17-7;Чирлидинг
IAB17-8;Скалолазание
IAB17-9;Крикет
IAB17-10;Фигурное катание
IAB17-11;Ловля рыбы нахлыстом
IAB17-12;Американский футбол
IAB17-13;Пресноводная рыбалка
IAB17-14;Дичь и рыба
IAB17-15;Гольф
IAB17-16;Скачки на лошадях
IAB17-17;Лошади
IAB17-18;Охота/Стрельба
IAB17-19;Катание на роликовых коньках
IAB17-20;Боевые искусства
IAB17-21;Катание на горных велосипедах
IAB17-22;Гонки NASCAR
IAB17-23;Олимпийские игры
IAB17-24;Пейнтбол
IAB17-25;Мотоциклы
IAB17-26;Профессиональный баскетбол
IAB17-27;Профессиональный хоккей
IAB17-28;Родео
IAB17-29;Регби
IAB17-30;  Бег/пробежка
IAB17-31;Парусный спорт
IAB17-32;Морская рыбалка
IAB17-33;Плавание с аквалангом
IAB17-34;Скейтборд
IAB17-35;Лыжи
IAB17-36;Сноуборд
IAB17-37;Серфинг/Бодибординг
IAB17-38;Плавание
IAB17-39;Настольный теннис/Пинг-понг
IAB17-40;Теннис
IAB17-41;Волейбол
IAB17-42;Ходьба
IAB17-43;Водные лыжи/вейкборд
