"cat";"name";"c"
"IAB8";"Еда и напитки";15237132
"IAB1";"Искусство и развлечения";3726895
"IAB12";"Новости";538208
"IAB9";"Хобби и интересы";411355
"IAB19";"Технологии и компьютеры";308820
"IAB17";"Спорт";244542
"IAB5";"Образование";232224
"IAB12-3";"Местные новости";122289
"IAB12-2";"Национальные новости";119832
"IAB1-5";"Фильмы";101459
"IAB14";"Социум";79043
"IAB1-1";"Книги и литература";76573
"IAB3";"Бизнес";58368
"IAB15";"Наука";52388
"IAB2";"Автомобили";51376
"IAB11";"Право, правительство и политика";50069
"IAB7";"Здоровье и фитнес";46130
"IAB6";"Семья и воспитание детей";44000
"IAB4";"Карьера";39802
"IAB13";"Личные финансы";32446
"IAB24";"Контент без категории";32167
"IAB10";"Дом и сад";32115
"IAB1-2";"Знаменитости/Сплетни";25967
"IAB18";"Стиль и мода";24045
"IAB21";"Недвижимость";23624
"IAB23";"Религия и духовность";22806
"IAB20";"Путешествия";18663
"IAB1-7";"Телевидение";18388
"IAB19-29";"Развлечения";18217
"IAB16";"Домашние животные";16974
"IAB2-4";"Автомобильная культура";16390
"IAB5-6";"Дистанционное образование";12538
"IAB1-6";"Музыка";9392
"IAB9-30";"Компьютерные и видеоигры";6114
"IAB14-1";"Знакомства и свидания";5468
"IAB1-4";"Юмор";5135
"IAB18-3";"Мода";4890
"IAB11-4";"Политика";4123
"IAB19-10";"Обзоры компьютеров";3955
"IAB19-7";"Компьютерная сертификация";3819
"IAB22";"Шоппинг и покупки";3695
"IAB26";"Незаконный контент";3630
"IAB12-1";"Международные новости";3388
"IAB17-12";"Американский футбол";3039
"IAB17-27";"Профессиональный хоккей";2733
"IAB19-18";"Интернет-технологии";2533
"IAB17-40";"Теннис";2512
"IAB6-1";"Усыновление";2419
"IAB13-3";"Новости финансов";1806
"IAB13-7";"Инвестиции";1652
"IAB2-3";"Покупка/продажа автомобилей";1582
"IAB25";"Нестандартный контент";1413
"IAB5-11";"Домашнему задание/советы по учебе";1403
"IAB9-5";"Настольные игры/Пазлы";1305
"IAB17-26";"Профессиональный баскетбол";1145
"IAB6-2";"Младенцы и дети ясельного возраста";1050
"IAB17-10";"Фигурное катание";968
"IAB7-2";"СДВГ";706
"IAB19-2";"Анимация";587
"IAB19-30";"Условно-бесплатные программы";510
"IAB10-2";"Развлечения";465
"IAB9-20";"Магия и фокусы";434
"IAB10-6";"Домашний кинотеатр";403
"IAB19-14";"Десктопное видео";402
"IAB9-26";"Научная фантастика и фэнтези";402
"IAB19-17";"Домашнее видео/DVD";402
"IAB6-7";"Беременность";293
"IAB9-11";"Комиксы";292
"IAB5-14";"Специальное образование";272
"IAB25-3";"Порнография";238
"IAB9-16";"Гитара";230
"IAB7-37";"Психология/Психиатрия";228
"IAB3-7";"Правительство";214
"IAB19-27";"Поддержка ПК";208
"IAB22-1";"Конкурсы и раздачи";205
"IAB11-2";"Юридические вопросы";197
"IAB9-WS2";"";195
"IAB5-10";"Домашнее обучение";185
"IAB13-4";"Финансовое планирование";156
"IAB5-8";"Изучение языка";156
"IAB11-5";"Комментарии и мнения";156
"IAB17-39";"Настольный теннис/Пинг-понг";151
"IAB9-12";"Рисование карандашом";130
"IAB22-3";"Сравнение товаров";127
"IAB15-10";"Погода";115
"IAB10-4";"Садоводство";106
"IAB8-6";"Кофе/чай";106
"IAB15-5";"Паранормальные явления";103
"IAB3-11";"Маркетинг";73
"IAB26-2";"Взломанное/украденное ПО";72
"IAB20-1";"Приключения/путешествия";63
"IAB4-5";"Поиск работы";61
"IAB15-2";"Биология";61
"IAB17-20";"Боевые искусства";58
"IAB16-7";"Ветеринарная медицина";58
"IAB16-4";"Собаки";56
"IAB15-1";"Астрология";54
"IAB10-9";"Реконструкция и строительство";51
"IAB15-3";"Химия";51
"IAB16-3";"Кошки";48
"IAB15-9";"Ботаника";44
"IAB16-5";"Крупные животные";44
"IAB16-2";"Птицы";44
"IAB15-8";"География";44
"IAB16-6";"Рептилии";44
"IAB10-7";"Отделка интерьера";44
"IAB16-1";"Аквариумы";44
"IAB9-7";"Карточные игры";40
"IAB9-2";"Искусство и ремесла";39
"IAB2-2";"Ремонт автомобилей";39
"IAB5-1";"Средняя и старшая школы";34
"IAB2-1";"Автозапчасти";34
"IAB5-9";"Магистратура/аспирантура";29
"IAB19-8";"Компьютерные сети";26
"IAB10-3";"Экологическая безопасность";24
"IAB13-11";"Фонды";22
"IAB19-6";"Сотовые телефоны";21
"IAB6-5";"Воспитание детей начального школьного возраста";20
"IAB10-1";"Оборудование";19
"IAB3-5";"Строительство";17
"IAB22-2";"Купоны";16
"IAB17-4";"Бодибилдинг";15
"IAB10-5";"Ремонт дома";11
"IAB17-13";"Пресноводная рыбалка";11
"IAB19-20";"JavaScript";9
"IAB9-8";"Шахматы";8
"IAB18-4";"Ювелирные украшения";8
"IAB19-WS1";"";7
"IAB19-WS4";"";6
"IAB26-1";"Незаконный контент";6
"IAB19-1";"3-D Графика";6
"IAB17-21";"Катание на горных велосипедах";6
"IAB9-25";"Ролевые игры";6
"IAB6-3";"Детский сад/дошкольное учреждение";5
"IAB19-3";"Антивирусное ПО";5
"IAB9-23";"Фотография";4
"IAB14-7";"Свадьбы";4
"IAB9-1";"Искусство/Технологии";4
"IAB18-1";"Красота";4
"IAB25-WS1";"";3
"IAB14-WS1";"";3
"IAB6-8";"Дети - инвалиды";2
"IAB6-4";"Семейный интернет";2
"IAB6-6";"Воспитание подростков";2
"IAB19-22";"MP3/MIDI";2
"IAB2-18";"Пикап";2
"IAB10-8";"Ландшафтный дизайн";1
"IAB6-9";"Уход за пожилыми людьми";1
"IAB11-1";"Иммиграция";1
"IAB20-8";"Местные достопримечательности США";1
"IAB3-10";"Логистика";1
"IAB25-6";"На стадии разработки";1
"IAB21-1";"Апартаменты";1
"IAB5-7";"Английский как второй язык";1
"IAB19-25";"Сетевая безопасность";1
"IAB19-24";"Интернет для начинающих";1
"IAB17-30";"Бег/пробежка";1
